26918,Tamara Dahlen,Ontario,Ontario,Corporate
54342,Bill Donatelli,Ontario,Ontario,Corporate
34275,Christy Brittain,British Columbia,West,Consumer
4004,Barry Blumstein,British Columbia,West,Small Business
44229,Aleksandra Gannaway,New Brunswick,Atlantic,Corporate
13861,Paul Prost,Ontario,Ontario,Corporate
46336,Russell Applegate,Ontario,Ontario,Home Office
39169,Pauline Webber,Alberta,West,Consumer
46662,Greg Guthrie,Prince Edward Island,Atlantic,Small Business
5860,Sheri Gordon,Quebec,Quebec,Corporate
42246,Erin Smith,Ontario,Ontario,Home Office
53698,Andy Yotov,Ontario,Ontario,Corporate
37473,Carl Weiss,Alberta,West,Consumer
5543,Noel Staavos,Quebec,Quebec,Home Office
2628,Aaron Hawkins,British Columbia,West,Home Office
11362,Annie Thurman,Alberta,West,Consumer
16326,Ted Trevino,Ontario,Ontario,Corporate
59815,Tamara Chand,Ontario,Ontario,Consumer
58470,Tom Prescott,British Columbia,West,Small Business
50657,Fred Chung,Quebec,Quebec,Corporate
293,Eileen Kiefer,Ontario,Ontario,Consumer
21634,Hilary Holden,Prince Edward Island,Atlantic,Corporate
3395,Lynn Smith,New Brunswick,Atlantic,Corporate
42243,Dan Reichenbach,Prince Edward Island,Atlantic,Corporate
54534,Sonia Sunley,British Columbia,West,Corporate
15872,Julie Kriz,Manitoba,Prarie,Corporate
40097,Carlos Soltero,Northwest Territories,Northwest Territories,Small Business
56901,Xylona Price,Ontario,Ontario,Corporate
23936,Cindy Schnelling,Northwest Territories,Northwest Territories,Corporate
15397,Matthew Grinstein,Alberta,West,Small Business
43271,Marina Lichtenstein,British Columbia,West,Corporate
39749,Art Ferguson,Nova Scotia,Atlantic,Corporate
29639,Victoria Wilson,Ontario,Ontario,Home Office
21799,Deanra Eno,Yukon,Yukon,Corporate
14951,Jocasta Rupert,New Brunswick,Atlantic,Consumer
51557,Kristina Nunn,British Columbia,West,Consumer
43713,Meg O'Connel,Ontario,Ontario,Corporate
33444,Barry Weirich,Nunavut,Nunavut,Corporate
37185,Jim Epp,New Brunswick,Atlantic,Small Business
